Time(s),CH1V,CH2V
7.920000e-04,3.103867e+00,8.066667e-02
7.940000e-04,3.145867e+00,7.213333e-02
7.960000e-04,5.360000e-02,4.000000e-02
7.980000e-04,1.813333e-02,3.165067e+00
8.000000e-04,2.253333e-02,3.156533e+00
8.020000e-04,2.681733e+00,3.184267e+00
8.040000e-04,3.117200e+00,3.171467e+00
8.060000e-04,3.139333e+00,3.171467e+00
8.080000e-04,4.253333e-02,5.280000e-02
8.100000e-04,3.586667e-02,5.493334e-02
8.120000e-04,3.360000e-02,5.493334e-02
8.140000e-04,3.130400e+00,8.706667e-02
8.160000e-04,3.139333e+00,4.640000e-02
8.180000e-04,5.133333e-02,3.086000e+00
8.200000e-04,3.146667e-02,3.158667e+00
8.220000e-04,3.586667e-02,3.141467e+00
8.240000e-04,3.130400e+00,3.180000e+00
8.260000e-04,3.121600e+00,3.173600e+00
8.280000e-04,4.253333e-02,3.171467e+00
8.300000e-04,1.813333e-02,3.175733e+00
8.320000e-04,3.146667e-02,3.150133e+00
8.340000e-04,3.055333e+00,3.194933e+00
8.360000e-04,3.134800e+00,3.148000e+00
8.380000e-04,3.586667e-02,3.145867e+00
8.400000e-04,2.040000e-02,3.167200e+00
8.420000e-04,3.146667e-02,3.175733e+00
8.440000e-04,1.914667e+00,3.167200e+00
8.460000e-04,3.130400e+00,3.158667e+00
8.480000e-04,3.132667e+00,3.186400e+00
8.500000e-04,3.146667e-02,4.426667e-02
8.520000e-04,2.040000e-02,4.640000e-02
8.540000e-04,1.160000e-02,4.853334e-02
8.560000e-04,3.108400e+00,4.213334e-02
8.580000e-04,3.123867e+00,5.280000e-02
8.600000e-04,5.133333e-02,1.440000e-02
8.620000e-04,9.333333e-03,4.640000e-02
8.640000e-04,3.586667e-02,5.280000e-02
8.660000e-04,3.145867e+00,6.573334e-02
8.680000e-04,3.132667e+00,4.853334e-02
8.700000e-04,4.693333e-02,6.346667e-02
8.720000e-04,2.480000e-02,6.786667e-02
8.740000e-04,3.146667e-02,5.280000e-02
8.760000e-04,2.951333e+00,5.706667e-02
8.780000e-04,3.141467e+00,6.346667e-02
8.800000e-04,3.148133e+00,4.426667e-02
8.820000e-04,4.693333e-02,3.169333e+00
8.840000e-04,2.480000e-02,3.173600e+00
8.860000e-04,4.026667e-02,3.156533e+00
8.880000e-04,3.137067e+00,3.203467e+00
8.900000e-04,3.141467e+00,3.177867e+00
8.920000e-04,3.126000e+00,6.786667e-02
8.940000e-04,3.137067e+00,5.920000e-02
8.960000e-04,6.240000e-02,6.786667e-02
8.980000e-04,3.800000e-02,3.175733e+00
9.000000e-04,2.253333e-02,3.162933e+00
9.020000e-04,2.736933e+00,3.203467e+00
9.040000e-04,3.137067e+00,3.173600e+00
9.060000e-04,3.130400e+00,3.182133e+00
9.080000e-04,2.706667e-02,3.171467e+00
9.100000e-04,2.920000e-02,3.171467e+00
9.120000e-04,4.693333e-02,3.162933e+00
9.140000e-04,3.126000e+00,3.177867e+00
9.160000e-04,3.150267e+00,3.167200e+00
9.180000e-04,2.253333e-02,5.493334e-02
9.200000e-04,4.253333e-02,5.280000e-02
9.220000e-04,5.360000e-02,3.573333e-02
9.240000e-04,3.119333e+00,6.133333e-02
9.260000e-04,3.143733e+00,5.706667e-02
9.280000e-04,3.360000e-02,2.344267e+00
9.300000e-04,2.920000e-02,3.162933e+00
9.320000e-04,2.920000e-02,3.156533e+00
9.340000e-04,3.059733e+00,3.184267e+00
9.360000e-04,3.137067e+00,3.167200e+00
9.380000e-04,1.021333e-01,3.111600e+00
9.400000e-04,3.146667e-02,6.786667e-02
9.420000e-04,3.360000e-02,7.213333e-02
9.440000e-04,2.091600e+00,1.013333e-02
9.460000e-04,3.130400e+00,5.706667e-02
9.480000e-04,3.137067e+00,6.133333e-02
9.500000e-04,4.693333e-02,3.167200e+00
9.520000e-04,3.146667e-02,3.175733e+00
9.540000e-04,1.160000e-02,3.177867e+00
9.560000e-04,3.139333e+00,3.158667e+00
9.580000e-04,3.143733e+00,3.177867e+00
9.600000e-04,4.253333e-02,3.171467e+00
9.620000e-04,4.253333e-02,3.173600e+00
9.640000e-04,2.253333e-02,3.171467e+00
9.660000e-04,3.114933e+00,3.175733e+00
9.680000e-04,3.132667e+00,3.156533e+00
9.700000e-04,1.160000e-02,1.020000e-01
9.720000e-04,2.040000e-02,6.346667e-02
9.740000e-04,4.693333e-02,6.133333e-02
9.760000e-04,2.955867e+00,3.573333e-02
9.780000e-04,3.145867e+00,5.920000e-02
9.800000e-04,-1.034667e-01,3.573333e-02
9.820000e-04,1.600000e-02,4.640000e-02
9.840000e-04,4.026667e-02,5.066667e-02
9.860000e-04,2.768000e-01,4.853334e-02
9.880000e-04,3.141467e+00,5.493334e-02
9.900000e-04,3.154800e+00,5.066667e-02
9.920000e-04,3.800000e-02,5.066667e-02
9.940000e-04,4.906667e-02,4.853334e-02
9.960000e-04,2.706667e-02,7.000000e-02
9.980000e-04,3.119333e+00,6.786667e-02
1.000000e-03,3.152533e+00,6.573334e-02
1.002000e-03,3.586667e-02,5.066667e-02
1.004000e-03,2.253333e-02,6.786667e-02
1.006000e-03,3.146667e-02,6.573334e-02
1.008000e-03,3.070800e+00,6.133333e-02
1.010000e-03,3.134800e+00,4.640000e-02
1.012000e-03,4.026667e-02,8.000000e-03
1.014000e-03,1.813333e-02,5.280000e-02
1.016000e-03,4.253333e-02,5.920000e-02
1.018000e-03,2.684000e+00,6.573334e-02
1.020000e-03,3.121600e+00,5.493334e-02
1.022000e-03,3.150267e+00,5.280000e-02
1.024000e-03,3.586667e-02,6.786667e-02
1.026000e-03,9.333333e-03,5.706667e-02
1.028000e-03,3.146667e-02,4.640000e-02
1.030000e-03,3.134800e+00,7.853334e-02
